"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.369532667E0,6.975494385E-2,2.526745605E-1,9.910740509E0,9.914206354E0
2.379564667E0,1.377136230E-2,2.559677124E-1,9.818382568E0,9.821728228E0
2.389596667E0,7.035369873E-3,2.519261169E-1,9.704768829E0,9.708040703E0
2.399628667E0,2.739303589E-2,2.206411743E-1,9.830357666E0,9.832871643E0
2.409659667E0,1.287322998E-2,2.269281006E-1,9.901908875E0,9.904517224E0
2.419691667E0,-1.377136230E-2,2.254312134E-1,9.749974823E0,9.752590319E0
2.429723667E0,-1.377136230E-2,2.315684509E-1,9.752070465E0,9.754829161E0
2.439755667E0,1.257385254E-2,2.408491516E-1,9.887389069E0,9.890330076E0
2.449786667E0,-1.631607056E-2,2.595602417E-1,9.830207977E0,9.833647676E0
2.459818667E0,-2.589614868E-2,2.433938599E-1,9.744735718E0,9.747809261E0
2.469850667E0,-1.047821045E-2,2.517764282E-1,9.826016693E0,9.829247439E0
2.479881667E0,1.077758789E-2,2.490820312E-1,9.905501404E0,9.908638457E0
2.489913667E0,-2.874023438E-2,2.748284912E-1,9.814939728E0,9.818828777E0
2.499945667E0,-1.242416382E-2,2.502795410E-1,9.770182800E0,9.773395836E0
2.509977667E0,4.954696655E-2,2.535726929E-1,9.889035645E0,9.892410222E0
2.520008667E0,7.484436035E-4,2.436932373E-1,9.852960663E0,9.855973862E0
2.530040667E0,7.484436035E-4,2.347119141E-1,9.761051788E0,9.763873322E0
2.540072667E0,5.718109131E-2,2.628533936E-1,9.783355408E0,9.787052908E0
2.550103667E0,6.346801758E-2,2.832110596E-1,9.892777863E0,9.897034431E0
2.560135667E0,1.257385254E-2,2.647993469E-1,9.796827393E0,9.800413448E0
2.570167667E0,3.218307495E-2,2.680924988E-1,9.699080658E0,9.702838500E0
2.580199667E0,7.753875732E-2,2.609074402E-1,9.869426422E0,9.873178964E0
2.590230667E0,2.859054565E-2,2.514770508E-1,9.890532532E0,9.893770358E0
2.600262667E0,2.574645996E-2,2.323168945E-1,9.725425873E0,9.728234291E0
2.610294667E0,4.685256958E-2,2.320175171E-1,9.762698364E0,9.765567400E0
2.620326667E0,4.430786133E-2,2.086660767E-1,9.902208252E0,9.904505691E0
2.630357667E0,7.035369873E-3,2.246827698E-1,9.810000000E0,9.812575189E0
2.640389667E0,2.993774414E-4,2.180964661E-1,9.697134705E0,9.699586983E0
2.650421667E0,3.607498169E-2,2.294728088E-1,9.806257782E0,9.809008658E0
2.660452667E0,-5.837860107E-3,2.591111755E-1,9.893975372E0,9.897369416E0
2.670484667E0,-1.152603149E-2,2.435435486E-1,9.763297119E0,9.766341021E0
2.680516667E0,-1.691482544E-2,2.508782959E-1,9.692644043E0,9.695905042E0
2.690548667E0,-2.993774414E-3,2.607577515E-1,9.902058563E0,9.905491778E0
2.700579667E0,-3.083587646E-2,2.704875183E-1,9.872420197E0,9.876173089E0
2.710611667E0,-3.847000122E-2,2.624043274E-1,9.706714783E0,9.710337164E0
2.720643667E0,1.646575928E-2,2.667453003E-1,9.805808716E0,9.809449972E0
2.730674667E0,2.110610962E-2,2.564167786E-1,9.928553467E0,9.931886476E0
2.740706667E0,-2.230361938E-2,2.380050659E-1,9.791438599E0,9.794356216E0
2.750738667E0,1.466949463E-2,2.496807861E-1,9.737400970E0,9.740612576E0
2.760770667E0,5.194198608E-2,2.324665833E-1,9.891280975E0,9.894148676E0
2.770801667E0,3.742218018E-2,2.481838989E-1,9.901908875E0,9.905089350E0
2.780833667E0,2.844085693E-3,2.537223816E-1,9.726174316E0,9.729483541E0
2.790865667E0,5.718109131E-2,2.598596191E-1,9.821076965E0,9.824680629E0
2.800896667E0,5.328918457E-2,2.255809021E-1,9.927206268E0,9.929911922E0
2.810928667E0,2.844085693E-3,2.285746765E-1,9.797725525E0,9.800391825E0
2.820960667E0,2.963836670E-2,2.148033142E-1,9.718390503E0,9.720809270E0
2.830992667E0,5.583389282E-2,2.323168945E-1,9.867630157E0,9.870522453E0
2.841023667E0,4.370910645E-2,2.553689575E-1,9.908644867E0,9.912031421E0
2.851055667E0,-1.781295776E-2,2.532733154E-1,9.684560852E0,9.687888499E0
2.861087667E0,3.742218018E-2,2.429447937E-1,9.732012177E0,9.735116003E0
2.871118667E0,3.682342529E-2,2.435435486E-1,9.930948486E0,9.934002580E0
2.881150667E0,-1.496887207E-2,2.460882568E-1,9.795779572E0,9.798881615E0
2.891182667E0,-4.939727783E-3,2.582130432E-1,9.708960114E0,9.712394394E0
2.901214667E0,4.116439819E-2,2.697390747E-1,9.847871246E0,9.851650712E0
2.911245667E0,1.047821045E-2,2.486329651E-1,9.943672028E0,9.946785488E0
2.921277667E0,-1.571731567E-2,2.486329651E-1,9.773026886E0,9.776201711E0
2.931309667E0,6.735992432E-3,2.502795410E-1,9.726174316E0,9.729396284E0
2.941340667E0,1.152603149E-2,2.468367004E-1,9.927805023E0,9.930879809E0
2.951372667E0,-2.095642090E-2,2.495310974E-1,9.855205994E0,9.858386791E0
2.961404667E0,-3.622467041E-2,2.471360779E-1,9.687255249E0,9.690474845E0
2.971436667E0,5.837860107E-2,2.430944824E-1,9.844129028E0,9.847303149E0
2.981467667E0,6.436614990E-3,2.260299683E-1,9.947264557E0,9.949834327E0
2.991499667E0,1.646575928E-3,2.481838989E-1,9.748927002E0,9.752085708E0
3.001531667E0,4.340972900E-3,2.332150269E-1,9.709409180E0,9.712210599E0
3.011563667E0,2.978805542E-2,2.170486450E-1,9.909842377E0,9.912263787E0
3.021594667E0,-8.831634521E-3,2.245330811E-1,9.902507629E0,9.905056812E0
3.031626667E0,8.831634521E-3,2.038760376E-1,9.737700348E0,9.739838371E0
3.041658667E0,6.286926270E-3,2.441423035E-1,9.730215912E0,9.733280366E0
